event_id,method,n_files,n_real,prec_at_1,prec_at_3,recall_at_5,triage_sec,found_first,repo
elasticsearch-ev00156,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00157,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00158,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00159,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00160,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00161,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00162,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00163,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00164,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00165,pre_only,7,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00166,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00167,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00168,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00169,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00170,pre_only,7,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00171,pre_only,5,3,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00172,pre_only,4,2,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00173,pre_only,6,3,1.0,0.3333333333333333,0.6666666666666666,0,1,elasticsearch
elasticsearch-ev00174,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00175,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00176,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00177,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00178,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00179,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00180,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00181,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00182,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00183,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00184,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00185,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00186,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00187,pre_only,7,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00188,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00189,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00190,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00191,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00192,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00193,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00194,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00195,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
